Account ID,Program Account ID Filter,Campaign ID,Campaign Name,Country,Date Created,Event Name,Invited,Number of Records,Online Event ID,Partner ID,Partner Name,Program Name,Region,Registered,WebEx Participated
54296,True,1796309,In-Person Event Template,United States,11/21/2017 9:26:37 AM,EMEA-In-Person-UKI-Commvault-Partner-Connections-2017-Dec-06,123,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,4,0
54296,True,1799302,In-Person Event Template,United States,11/28/2017 3:26:00 AM,Commvault Partner New Hire Training,85,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,31,0
54296,True,1812604,In-Person Event Template,United States,12/29/2017 6:32:30 AM,EMEA-In-Person-Cisco-Live-Reception-Jan-2018,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,63,0
54296,True,1741290,Webinar Template-APAC,United States,8/4/2017 5:33:36 PM,APAC-KIRSTY EVENT,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1816730,Webinar Template-APAC,United States,1/10/2018 1:54:01 PM,Fujitsu-Webinar-Roadshow-Poland,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
46781,True,1691846,Commvault and Tech Data Solutions - Partner Demand Center Webinar,United States,5/2/2017 10:27:01 AM,Commvault and Tech Data Solutions - Partner Demand Center Webinar,0,1,9121,104293,Tech Data,Tech Data Marketing Team,Americas,21,1
54296,True,1812606,In-Person Event Template,United States,12/29/2017 6:37:40 AM,EMEA-In-Person-CIscoLive-Barcelona-Jan2018-CSeller,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1881479,In-Person Event Template,United States,4/18/2018 9:59:41 PM,In-Person Event Template,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1772751,Webinar-Event-Template,United States,10/16/2017 10:13:24 PM,APAC - Webinar - Japan - GDPR - Oct 2017,0,1,10221,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1875120,Webinar-Event-Template,United States,4/10/2018 10:08:47 PM,Webinar-Event-Template,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1781274,Webinar Template-APAC,United States,10/30/2017 2:06:27 PM,AMER-In Person-Hockey Helping Kids Phoenix: 1/16/18,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,77,0
54296,True,1781941,Webinar Template-APAC,United States,10/31/2017 2:56:46 PM,AMER-In Person-Hockey Helping Kids Minnesota-2/8/18,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,88,0
54296,True,1858617,Webinar Template-APAC,United States,3/13/2018 11:17:57 PM,APAC>ANZ>Hyperscale & ScaleProtect Launch - Wellington,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,6,0
54296,True,1874279,Webinar Template-APAC,United States,4/9/2018 6:46:51 PM,EMEA_in-person_Germany_FY19Q1_Partner NextNights HyperScale_FRANKFURT,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,27,0
54296,True,1883430,Webinar Template-APAC,United States,4/19/2018 8:54:36 PM,APAC-ANZ-Partner VIP Briefing - Melbourne,3,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1825048,Partner Reception - Netherlands Feb 2018 -Active,United States,1/26/2018 9:14:11 AM,Commvault Partner Insight - Netherlands March 2018 -Active,2885,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,56,0
54296,True,1883425,Partner Reception - Netherlands Feb 2018 -Active,United States,4/19/2018 8:52:56 PM,Commvault Workshop - Netherlands - June 14th,2062,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,30,0
54296,True,1864010,In-Person Event Template,United States,3/23/2018 12:17:25 PM,Commvault Insight - Sweden 18 April 2018,890,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,17,0
54296,True,1772533,Webinar-Event-Template,United States,10/16/2017 10:19:43 AM,EMEA - Webinar - Germany - GDPR - Oct 2017,0,1,10201,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1736486,Webinar Template-APAC,United States,7/25/2017 3:42:54 PM,Americas-InPerson-CDW-XXcelerate-Pool-Party,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,100,0
54296,True,1760779,Webinar Template-APAC,United States,9/15/2017 10:35:25 PM,EMEA-InPerson-IntelliSnap-Workshop-September-28-2017,48,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,7,0
51605,True,1731149,Partner Reception - EMEA,Belgium,7/13/2017 5:11:48 PM,Partner Reception - EMEA,0,1,,,Commvault Employee Account - Stefaan Rogiers,To Partner Marketing Events,EMEA,0,0
54296,True,1839654,Partner Reception - Netherlands Feb 2018 -Active,United States,2/26/2018 4:55:07 AM,"Commvault Partner Insight and Network Drink, March 15th 2018",181,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,9,0
54296,True,1947194,Partner Reception - Netherlands Feb 2018 -Active,United States,8/3/2018 9:35:34 AM,Commvault Partner Insight - Luxembourg,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1812855,In-Person Event Template,United States,1/2/2018 6:02:19 AM,EMEA-In-Person-Cisco-Live-Jan-GSI Workshop,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,2,0
54296,True,1829027,In-Person Event Template,United States,2/2/2018 5:28:34 AM,EMEA-In-Person-UKI-HyperScale Appliance Partner Workshop-2018-Mar-08,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1911761,In-Person Event Template,United States,5/30/2018 7:13:04 AM,EMEA-In-Person-Russia-Active Copy Management webinar-June 19,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,5,0
54296,True,1883420,Webinar Template-APAC,United States,4/19/2018 8:47:55 PM,APAC-KIRSTY EVENT,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1880261,Partner Reception - Netherlands Feb 2018 -Active,United States,4/17/2018 9:06:54 AM,Commvault Partner Insight Luxembourg,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,4,0
54296,True,1797577,In-Person Event Template,United States,11/22/2017 6:09:33 AM,In-Person Event Template-Sample,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,1,0
54296,True,1808147,In-Person Event Template,United States,12/14/2017 2:20:15 AM,Emea-In-Person- Italy Partner Event 15Feb18,436,1,10401,,To Partner Marketing Account,To Partner Marketing Events,Americas,87,0
54296,True,1914624,Webinar-Event-Template,United States,6/5/2018 2:37:07 AM,Webinar-Event-Template,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,0,0
54296,True,1731988,Webinar Template-APAC,United States,7/14/2017 4:59:50 PM,EMEA-InPerson-GDPR-fit-mit-Commvault-September-07-2017,5499,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,64,0
54296,True,1762401,Webinar Template-APAC,United States,9/19/2017 1:10:20 PM,AMER-In Person-Hockey Helping Kids Columbus-11/17/17,236,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,79,0
54296,True,1781979,Webinar Template-APAC,United States,10/31/2017 3:40:57 PM,AMER-In Person-Hockey Helping Kids Brooklyn 2/15/18,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,95,0
54296,True,1817191,Webinar Template-APAC,United States,1/11/2018 10:03:33 AM,AMER-In Person-Hockey Helping Kids Philadelphia 3/22/18,0,1,,,To Partner Marketing Account,To Partner Marketing Events,Americas,150,0
