Comments,Is Post Date Current Month,Program Account ID Filter,Campaign ID,Campaign Name,Campaign Status,Campaign Topic,Company Name,Country,Currently Authorized,Date Created,Favorites,Followers On Date of Posting,Geographic Region Name,Total Interactions,Likes,Language,Number of Records,Page Views,Partner ID,Post Content,Post Creation Date,Post Date,Posted Indication,Program Name,Retweets,SW Account ID,Send On Date,Social Account ID,Social Name,Social Post ID,Unique Page Views
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,EM2 IT Solutions,United States,No,6/6/2018 12:59:38 PM,0,262,Americas,0,0,,1,0,521816,If you didn't catch #Microsoft @Azure Solution Showcase #Webinar- its available on-demand now! Lots of expert insight plus awesome demos http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3230427&SWThemeID=38377,6/6/2018 12:59:47 PM,6/25/2018 2:00:06 PM,1,Global Partner Marketing,0,62605,3/26/2018 2:00:00 PM,39652,Twitter,1584711,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,Open Storage Solutions - Canada,Canada,No,11/3/2017 1:11:52 PM,0,,Americas,0,0,,1,0,104476,"In his new article, Ananth Balasubramanian addresses how #healthcare organizations can assess their #cloud #datamanagement strategy, and address its weakest links. http://ow.ly/8bUO30i8Q8T",3/9/2018 1:02:10 PM,,0,Global Partner Marketing,0,50895,4/10/2018 11:00:00 AM,38585,LinkedIn,1585166,0
0,No,True,1807752,HyperScale™ Appliance - Social Content - Facebook,Active,HyperScale Appliance,Business Bridge 2 USA LLC,United States,No,2/22/2018 4:10:06 PM,0,,Americas,0,0,,1,0,518113,Read about @Commvault’s ‘Highly-Differentiated Infrastructure’ solutions in @BCWUK http://www.businesscomputingworld.co.uk/news-post/commvault-unveils-highly-differentiated-infrastructure-solutions-with-hyperscale-software-and-appliance-offerings/ …,3/6/2018 5:56:58 PM,,0,AMS Partner Marketing,0,52272,3/29/2018 1:00:00 PM,38563,Facebook,1584569,0
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,,"Grupo Competec, S.A. de C.V.",United States,No,11/3/2017 5:17:38 AM,0,,Americas,0,0,,1,0,522255,Commvault have been selected by @CRN editorial team as a Cool #Cloud #Storage Vendor - Recognized for creativity & innovation. Check out the press release http://ow.ly/pr4X100YnCt,3/9/2018 1:13:56 PM,,0,Global Partner Marketing,0,54718,3/29/2018 11:00:00 AM,38600,Facebook,1585454,0
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Active,HyperScale Appliance,DSN Group,United States,No,2/1/2018 2:12:39 PM,0,,Americas,0,0,,1,0,109046,"Save time and money with Commvault HyperScale™ Appliance. A fully integrated data protection appliance saving time over a traditional build your own product and a subscription pricing model consolidates hardware, software, and refreshes every three years http://ow.ly/KWUZ100SSR8",2/1/2018 2:12:40 PM,,0,AMS Partner Marketing,0,53293,2/6/2018 10:00:00 AM,37423,LinkedIn,1580320,0
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,Foresight Software Solutions,India,No,7/27/2018 9:39:45 AM,0,,APAC,0,0,,1,0,0014000000v5JxCAAU,New #blog alert! Check out #Commvault #DataProtection for @ciscoDC Integrated System for #AzureStack. No matter where your #data lives - we've got you covered http://ow.ly/1Q0e30i531W  #CLEUR,7/27/2018 9:39:53 AM,,0,APAC Partner Marketing,0,48897,4/12/2018 2:00:00 PM,37844,Twitter,1584801,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,expoIT,United States,No,8/2/2017 4:27:09 PM,0,,Americas,0,0,,1,0,514062,"Companies that use a software solution that integrates all data protection and data management functions into a single platform save as much as 87% in average recovery time. Learn more
https://kapost-files-prod.s3.amazonaws.com/published/5602c26802f432552f0003f6/simplify-data-management-in-the-cloud-for-it-efficiency.pdf?kui=fT1vROHmnFDHiI4WH8Labg",8/29/2017 1:14:19 PM,,0,Global Partner Marketing,0,52965,10/5/2017 11:00:00 AM,33583,LinkedIn,1569266,0
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Inactive,HyperScale Appliance,DDP Consulting Pty Ltd,South Africa,No,1/29/2018 9:03:34 AM,0,,EMEA,0,0,,1,0,112469,Fuelling today's hybrid IT environment with #Commvault HyperScale. Find out more about our big news on ITBrief AU! http://ow.ly/TfU7100R4fp,3/6/2018 5:47:25 PM,,0,AMS Partner Marketing,0,33969,4/11/2018 10:00:00 AM,37187,LinkedIn,1584429,0
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,Commvault Employee Account - David Bedjanic,Canada,No,8/30/2017 1:49:02 PM,0,,Americas,1,0,,1,0,,"You want to go to #cloud, but you want to securely manage #data. You can do both. https://www.youtube.com/watch?v=1_4EKcRot4Y",8/30/2017 1:49:24 PM,9/18/2017 2:00:03 PM,1,AMS CVLT Field,1,51062,9/18/2017 2:00:00 PM,38483,Twitter,1568984,0
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,Commvault Employee Account - David Bedjanic,Canada,No,8/30/2017 1:49:02 PM,0,,Americas,0,0,,1,0,,"Check it out: @Commvault provides agentless backup and recovery of your #AzureStack VM, including granular recovery of files and folders from a simplified data management platform. Works great with #Cisco's integrated system for AzureStack: https://www.commvault.com/blogs/2018/january/commvault-data-protection-for-cisco-integrated-system-for-microsoft-azure-stack …",3/7/2018 11:47:57 AM,,0,AMS CVLT Field,0,51062,4/19/2018 2:00:00 PM,38483,Twitter,1584837,0
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,,StorIT Distribution,United Arab Emirates,No,8/13/2017 9:19:37 AM,0,,EMEA,0,0,,1,0,186852,"Complete control and complete peace of mind when talking about disaster recovery in the cloud? Yes, Commvault and Microsoft Azure make it happen for Harper Collins https://kapost-files-prod.s3.amazonaws.com/published/57446c22625bd4614000004d/case-study-harpercollins.pdf?kui=P8jr4V2c4_irXkONb_XzxA",8/13/2017 9:20:00 AM,,0,Global Partner Marketing,0,45715,8/31/2017 3:00:00 PM,33703,Facebook,1561526,0
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,,"Grupo Competec, S.A. de C.V.",United States,No,11/3/2017 5:17:38 AM,0,,Americas,0,0,,1,0,522255,If you didn't catch #Microsoft @Azure Solution Showcase #Webinar- its available on-demand now! Lots of expert insight plus awesome demos http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3230427&SWThemeID=38377,3/9/2018 1:13:23 PM,,0,Global Partner Marketing,0,54718,3/27/2018 11:00:00 AM,38600,Facebook,1585430,0
